ds,y,yhat,yhat_lower,yhat_upper,granularity
2017-06-29,14275.039999999999,20225.8895584091,7953.284471905795,32533.520901099062,day
2017-06-30,14750.45,19475.82467148571,6332.38030632492,31600.954757068797,day
2017-07-01,13440.58,13612.973191465331,210.5458944731317,26628.669084919253,day
2017-07-02,13401.97,14823.81547401553,1185.493906926813,26539.339874429792,day
2017-07-03,17704.27,23093.08852531427,10690.271138618868,35030.034004193134,day
2017-07-04,17664.1,22535.415446882886,10331.093602634788,34960.27895879338,day
2017-07-05,23912.89,21692.424854886995,8618.163290975612,33830.9712500182,day
2017-07-06,24276.0,20731.405220102006,8313.31363088107,33288.141088032084,day
2017-07-07,15647.800000000001,19981.34033319075,7282.650854815093,32278.688195377596,day
2017-07-08,11897.07,14118.48885316026,1547.785994250242,26901.819080155226,day
2017-07-09,9915.73,15329.331135714292,2760.971651563631,27999.25907061958,day
2017-07-10,20633.9,23598.604187018755,11190.923983889357,35560.71644620248,day
2017-07-11,22602.06,23041.6862107132,10827.110011608509,35328.95169072591,day
2017-07-12,21757.95,22199.45072085409,7832.667826822782,34237.49844726759,day
2017-07-13,18100.3,21239.18618820456,8701.61560080528,33948.213208571186,day
2017-07-14,21888.920000000002,20489.87640343557,8364.026033349566,32286.589373257793,day
2017-07-15,13070.38,14627.780025540222,1962.913582530091,26749.08577994052,day
2017-07-16,15085.01,15839.377410241766,3533.174891922896,28115.54644711181,day
2017-07-17,25286.0,24109.405563664015,11777.373670109078,37292.13888154829,day
2017-07-18,32056.81,23552.487587371565,11807.206174187746,36461.22611068684,day
2017-07-19,19302.12,22710.252097511966,9763.02619910899,34718.19391058968,day
2017-07-20,21302.27,21749.98756486141,8896.296473104767,32847.68361880647,day
2017-07-21,15196.18,21000.67778008575,9003.95974184042,32846.39775534542,day
2017-07-22,13375.77,15138.581402194415,2803.102952340703,27960.357461623375,day
2017-07-23,13743.9,16350.178786894325,4205.158025867824,28026.586300534476,day
2017-07-24,21724.61,24620.206940317617,11957.275722740547,37516.639401279266,day
2017-07-25,19767.31,24063.28896402607,11789.025841433671,36720.91633311217,day
2017-07-26,14005.210000000001,23221.053474166092,10527.88234179651,34578.47976905383,day
2017-07-27,18483.68,22260.78894151412,9450.239915540478,34632.3931359595,day
2017-07-28,22607.760000000002,21511.479156741916,8973.514532195166,34392.81231342141,day
2017-07-29,17426.58,15649.382778855808,3578.7294539295804,28359.123659498677,day
2017-07-30,14493.880000000001,16861.60587430397,5068.647585378802,28792.83508880524,day
2017-07-31,20256.47,25132.259738489287,12926.584291159596,37693.067365765,day
2017-08-01,24835.62,24575.967472952656,12607.654076121778,36665.27878214408,day
2017-08-02,20673.82,23734.35769385167,11770.369458258137,36441.29542273871,day
2017-08-03,21395.8,22774.718871965164,10440.729101101542,35419.93353018669,day
2017-08-04,21191.82,22026.0347979436,10196.120546754813,35069.361964791926,day
2017-08-05,14394.25,16164.564130808372,3185.133598130615,29161.872571364507,day
2017-08-06,15402.73,17376.78722626757,5319.127908650032,29058.678050461633,day
2017-08-07,26737.98,25647.441090450277,13235.487125231673,37838.32122801605,day
2017-08-08,21527.55,25091.14882491219,12322.208758567784,37539.212063268256,day
2017-08-09,23298.08,24249.539045813115,12681.033891495637,36750.870501929974,day
2017-08-10,23867.44,23289.900223922916,10985.819755874127,35433.74525545345,day
2017-08-11,22246.01,22541.216149904798,10210.962535708983,35077.07067212251,day
2017-08-12,14495.37,16679.7454827676,4684.25775293988,29089.967149450764,day
2017-08-13,14373.59,17891.96857823118,5281.14959973681,30013.125105264513,day
2017-08-14,21413.64,26162.622442408916,14315.852372373965,38094.55869222923,day
2017-08-15,27455.88,25606.33017687409,12931.717589098114,38361.03535035797,day
2017-08-16,25134.73,24764.720397773744,11995.536571883655,37387.15810474323,day
2017-08-17,21344.34,23805.081575884797,12094.675762828916,36555.53085800606,day
2017-08-18,19662.52,23056.397501866006,10957.103898435278,36412.43470282608,day
2017-08-19,15017.0,17195.271058362836,3550.1679262657253,29888.07041269188,day
2017-08-20,15093.71,18407.83837745452,6065.26097489128,31502.946859884552,day
2017-08-21,25705.09,26678.83646529791,14396.748521007254,40120.7601867715,day
2017-08-22,19761.97,26122.888423404307,13815.90174559239,39247.81020775303,day
2017-08-23,18593.79,25281.622867946255,13218.79657382702,37936.61990450486,day
2017-08-24,15747.73,24322.32826969855,11153.679624921511,36541.845093324395,day
